Time (s),Volume (m^3),N2,Ar,He,Ne,H2(1),O2(2),[H](3),[O]O(4)
0.0,0.08314471999999999,0.74,0.0,0.0,0.0,0.05,0.21,0.0,0.0
1e-15,0.08314471999999999,0.74,0.0,0.0,0.0,0.05,0.21,1.5322821895667145e-20,1.532282716108096e-20
3.0000000000000002e-15,0.08314471999999999,0.74,0.0,0.0,0.0,0.05,0.21,5.034640588763541e-20,5.0346441013108376e-20
7e-15,0.08314471999999999,0.74,0.0,0.0,0.0,0.05,0.21,1.116376252710079e-19,1.1163781785672832e-19
1.5e-14,0.08314471999999999,0.74,0.0,0.0,0.0,0.05,0.21,2.342198904398447e-19,2.342207451418764e-19
3.1e-14,0.08314471999999999,0.74,0.0,0.0,0.0,0.05,0.21,4.793837263878524e-19,4.793872941018386e-19
6.300000000000001e-14,0.08314471999999999,0.74,0.0,0.0,0.0,0.05,0.21,9.697086207409382e-19,9.697231695646925e-19
1.2700000000000001e-13,0.08314471999999999,0.74,0.0,0.0,0.0,0.05,0.21,1.9503472994012617e-18,1.9504060305362485e-18
2.55e-13,0.08314471999999999,0.74,0.0,0.0,0.0,0.05,0.21,3.911580217545461e-18,3.911816191655807e-18
5.11e-13,0.08314471999999999,0.74,0.0,0.0,0.0,0.049999999999999996,0.21,7.833868305183258e-18,7.834814262545525e-18
1e-12,0.08314471999999999,0.74,0.0,0.0,0.0,0.04999999999999999,0.21,1.5325372416234496e-17,1.5329032540244114e-17
1.023e-12,0.08314471999999999,0.74,0.0,0.0,0.0,0.04999999999999999,0.21,1.567773355029212e-17,1.5681521334491696e-17
2.047e-12,0.08314471999999999,0.74,0.0,0.0,0.0,0.049999999999999975,0.20999999999999996,3.1362620835234805e-17,3.1377778683659057e-17
4.095e-12,0.08314471999999999,0.74,0.0,0.0,0.0,0.04999999999999994,0.20999999999999994,6.272102670566115e-17,6.278166208145273e-17
8.191e-12,0.08314471999999999,0.74,0.0,0.0,0.0,0.04999999999999988,0.20999999999999988,1.2539239659791543e-16,1.2563487072563836e-16
1e-11,0.08314471999999999,0.74,0.0,0.0,0.0,0.04999999999999985,0.20999999999999985,1.530311508953502e-16,1.5343409557186057e-16
1.6383e-11,0.08314471999999999,0.74,0.0,0.0,0.0,0.04999999999999975,0.20999999999999974,2.5055363220022914e-16,2.515227921962036e-16
3.2767e-11,0.08314471999999999,0.74,0.0,0.0,0.0,0.0499999999999995,0.2099999999999995,5.001521862840835e-16,5.040225522581041e-16
6.5535e-11,0.08314471999999999,0.74,0.0,0.0,0.0,0.049999999999999004,0.209999999999999,9.964703259613356e-16,1.0119010408723492e-15
9.999999999999999e-11,0.08314471999999999,0.74,0.0,0.0,0.0,0.049999999999998476,0.20999999999999847,1.5125052760296704e-15,1.5520683855447845e-15
1.31071e-10,0.08314471999999999,0.74,0.0,0.0,0.0,0.049999999999998,0.20999999999999797,1.97772279912769e-15,2.039041824288938e-15
2.62143e-10,0.08314471999999998,0.74,0.0,0.0,0.0,0.04999999999999599,0.20999999999999586,3.8957251041278535e-15,4.137826032454463e-15
3.93215e-10,0.08314471999999998,0.74,0.0,0.0,0.0,0.04999999999999399,0.2099999999999937,5.770233935749248e-15,6.280103713998551e-15
6.55359e-10,0.08314471999999995,0.74,0.0,0.0,0.0,0.04999999999998997,0.20999999999998928,9.352993016332892e-15,1.0730917659745057e-14
8.912886e-10,0.0831447199999999,0.74,0.0,0.0,0.0,0.049999999999986354,0.20999999999998514,1.2448503096084291e-14,1.4865623303690124e-14
9.999999999999999e-10,0.08314471999999985,0.74,0.0,0.0,0.0,0.04999999999998469,0.20999999999998317,1.3814780179091343e-14,1.6830877633549357e-14
1.1272182e-09,0.08314471999999985,0.74,0.0,0.0,0.0,0.04999999999998274,0.20999999999998087,1.5413649397971867e-14,1.9130692725498302e-14
1.3631478e-09,0.0831447199999998,0.74,0.0,0.0,0.0,0.049999999999979124,0.20999999999997648,1.8260473294336524e-14,2.3514084552828723e-14
1.835007e-09,0.08314471999999963,0.74,0.0,0.0,0.0,0.04999999999997189,0.20999999999996743,2.3697593525332255e-14,3.2537395769221583e-14
2.3068662e-09,0.08314471999999946,0.74,0.0,0.0,0.0,0.04999999999996466,0.20999999999995805,2.873540694818648e-14,4.1960013793753404e-14
2.7787253999999998e-09,0.08314471999999923,0.74,0.0,0.0,0.0,0.04999999999995743,0.20999999999994826,3.337603605149446e-14,5.1779816137828726e-14
3.7224437999999998e-09,0.0831447199999987,0.74,0.0,0.0,0.0,0.04999999999994297,0.20999999999992752,4.160844438534269e-14,7.24682706987385e-14
4.6661622e-09,0.08314471999999808,0.74,0.0,0.0,0.0,0.04999999999992851,0.20999999999990562,4.858216542274193e-14,9.441541255608566e-14
5.6098806e-09,0.08314471999999735,0.74,0.0,0.0,0.0,0.04999999999991405,0.2099999999998826,5.4479525828848046e-14,1.174389150447142e-13
6.553599e-09,0.08314471999999658,0.74,0.0,0.0,0.0,0.04999999999989959,0.2099999999998586,5.946307519469582e-14,1.4137622857358907e-13
8.4410358e-09,0.08314471999999483,0.74,0.0,0.0,0.0,0.04999999999987067,0.20999999999980848,6.71679537917092e-14,1.915130757659846e-13
9.999999999999999e-09,0.08314471999999308,0.74,0.0,0.0,0.0,0.049999999999846785,0.20999999999976535,7.180931739319776e-14,2.346471819295419e-13
1.0139728920000001e-08,0.08314471999999308,0.74,0.0,0.0,0.0,0.04999999999984464,0.20999999999976146,7.21691368408619e-14,2.385694459272578e-13
1.1893901840287343e-08,0.08314471999999115,0.74,0.0,0.0,0.0,0.04999999999981776,0.2099999999997115,7.596822076520608e-14,2.885281297026346e-13
1.3648074760574684e-08,0.08314471999998918,0.74,0.0,0.0,0.0,0.04999999999979088,0.20999999999966054,7.876244715328444e-14,3.394916710142338e-13
1.5402247680862024e-08,0.08314471999998711,0.74,0.0,0.0,0.0,0.049999999999764,0.20999999999960886,8.082175989043082e-14,3.9119012597672117e-13
1.7156420601149364e-08,0.08314471999998499,0.74,0.0,0.0,0.0,0.049999999999737116,0.2099999999995566,8.233911934269518e-14,4.4343053422404667e-13
1.8910593521436704e-08,0.08314471999998284,0.74,0.0,0.0,0.0,0.049999999999710235,0.20999999999950394,8.345606036730002e-14,4.960713608989879e-13
2.0664766441724044e-08,0.08314471999998067,0.74,0.0,0.0,0.0,0.04999999999968335,0.20999999999945101,8.428137657450055e-14,5.490038123912892e-13
2.2418939362011384e-08,0.0831447199999785,0.74,0.0,0.0,0.0,0.04999999999965647,0.20999999999939786,8.489079660327432e-14,6.021521600619732e-13
2.5927285202586067e-08,0.0831447199999741,0.74,0.0,0.0,0.0,0.049999999999602716,0.20999999999929114,8.56829773133643e-14,7.088755147506664e-13
2.943563104316075e-08,0.08314471999996965,0.74,0.0,0.0,0.0,0.04999999999954896,0.20999999999918403,8.608710399390018e-14,8.159869234687375e-13
3.2943976883735433e-08,0.0831447199999652,0.74,0.0,0.0,0.0,0.049999999999495205,0.20999999999907673,8.629262140749083e-14,9.232969414535776e-13
3.6452322724310113e-08,0.08314471999996075,0.74,0.0,0.0,0.0,0.04999999999944145,0.20999999999896934,8.64064752496054e-14,1.030698623009717e-12
3.996066856488479e-08,0.08314471999995629,0.74,0.0,0.0,0.0,0.049999999999387694,0.20999999999886187,8.647424682690167e-14,1.1381463868304986e-12
4.346901440545947e-08,0.08314471999995181,0.74,0.0,0.0,0.0,0.04999999999933394,0.2099999999987544,8.65158740888877e-14,1.2456202949664142e-12
5.048570608660884e-08,0.08314471999994288,0.74,0.0,0.0,0.0,0.04999999999922642,0.2099999999985394,8.655717860832647e-14,1.460610061242249e-12
5.7502397767758206e-08,0.08314471999993395,0.74,0.0,0.0,0.0,0.0499999999991189,0.2099999999983244,8.656764546176679e-14,1.6756306651833773e-12
7.153578113005693e-08,0.08314471999991607,0.74,0.0,0.0,0.0,0.04999999999890387,0.20999999999789434,8.657245153860827e-14,2.105688000693557e-12
9.960254785465438e-08,0.08314471999988031,0.74,0.0,0.0,0.0,0.049999999998473814,0.20999999999703423,8.656831546559862e-14,2.965816419926504e-12
9.999999999999998e-08,0.08314471999980878,0.74,0.0,0.0,0.0,0.04999999999846772,0.20999999999702207,8.656834291274212e-14,2.977996571441592e-12
1.557360813038493e-07,0.08314471999980878,0.74,0.0,0.0,0.0,0.04999999999761369,0.209999999995314,8.657219192007562e-14,4.686061109746763e-12
2.680031482022391e-07,0.08314471999966576,0.74,0.0,0.0,0.0,0.04999999999589344,0.2099999999918735,8.658227283383451e-14,8.12654816120192e-12
4.925372819990188e-07,0.08314471999937971,0.74,0.0,0.0,0.0,0.04999999999245294,0.20999999998499252,8.660266319016027e-14,1.500752203486119e-11
9.41605549592578e-07,0.0831447199988076,0.74,0.0,0.0,0.0,0.04999999998557195,0.2099999999712306,8.66434552589288e-14,2.8769469767934527e-11
9.999999999999997e-07,0.08314471999766336,0.74,0.0,0.0,0.0,0.049999999984677176,0.20999999996944105,8.66487596611714e-14,3.0559000296041414e-11
1.8397420847796965e-06,0.08314471999766336,0.74,0.0,0.0,0.0,0.049999999971809955,0.2099999999437067,8.672503968036218e-14,5.62933652222399e-11
3.6360151551539334e-06,0.08314471999537491,0.74,0.0,0.0,0.0,0.04999999994428598,0.2099999998886589,8.688820852669625e-14,1.113411560846091e-10
7.228561295902407e-06,0.08314471999079799,0.74,0.0,0.0,0.0,0.04999999988923803,0.20999999977856332,8.721454621901462e-14,2.2143673762432758e-10
9.999999999999997e-06,0.08314471998164413,0.74,0.0,0.0,0.0,0.04999999984677176,0.20999999969363103,8.746629661374821e-14,3.0636902320923664e-10
1.4413653577399357e-05,0.08314471998164413,0.74,0.0,0.0,0.0,0.04999999977914212,0.20999999955837215,8.786722160216119e-14,4.4162789996314156e-10
2.8783838140393256e-05,0.08314471996333647,0.74,0.0,0.0,0.0,0.049999999558950306,0.20999999911798983,8.917257236248058e-14,8.820102216739291e-10
5.752420726638105e-05,0.08314471992672112,0.74,0.0,0.0,0.0,0.04999999911856669,0.20999999823722518,9.178327385912117e-14,1.7627748531933578e-09
9.999999999999998e-05,0.08314471985349038,0.74,0.0,0.0,0.0,0.049999998467717605,0.2099999969355309,9.564166597365333e-14,3.064469161798366e-09
0.00011500494551835663,0.08314471985349038,0.74,0.0,0.0,0.0,0.04999999823779947,0.20999999647569598,9.700467675558488e-14,3.5243040683453584e-09
0.0002299664220223078,0.08314471970702898,0.74,0.0,0.0,0.0,0.04999999647626513,0.20999999295263774,1.0744748215464348e-13,7.047362304875739e-09
0.00034492789852625896,0.08314471956056757,0.74,0.0,0.0,0.0,0.049999994714730885,0.2099999894295797,1.1789028721119916e-13,1.0570420344664186e-08
0.0004598893750302101,0.08314471941410619,0.74,0.0,0.0,0.0,0.04999999295319675,0.20999998590652186,1.2833309191645637e-13,1.4093478184742433e-08
0.0006898123280381124,0.08314471912118343,0.74,0.0,0.0,0.0,0.04999998943012871,0.20999997886040664,1.4921870062518492e-13,2.1139593384560448e-08
0.0009197352810460148,0.08314471882826069,0.74,0.0,0.0,0.0,0.04999998590706104,0.20999997181429222,1.7010430803230246e-13,2.818570782048058e-08
0.0009999999999999998,0.08314471824241532,0.74,0.0,0.0,0.0,0.049999984677179435,0.2099999693545363,1.7739534747885118e-13,3.064546375184966e-08
0.0013795811870618195,0.08314471824241532,0.74,0.0,0.0,0.0,0.04999997886092704,0.20999995772206598,2.1187551793348796e-13,4.227793406049823e-08
0.0018394270930776242,0.0831447176565701,0.74,0.0,0.0,0.0,0.04999997181479483,0.2099999436298433,2.5364672103052535e-13,5.637015670592252e-08
0.0027591189051092337,0.08314471648488016,0.74,0.0,0.0,0.0,0.04999995772253632,0.20999991544540988,3.371891037738002e-13,8.455459018795572e-08
0.003678810717140843,0.08314471531319088,0.74,0.0,0.0,0.0,0.04999994363028619,0.20999988726099314,4.2073145224618295e-13,1.1273900691174139e-07
0.004598502529172452,0.08314471414150237,0.74,0.0,0.0,0.0,0.049999929538045176,0.20999985907659466,5.042737621058739e-13,1.4092340541250844e-07
0.005518194341204062,0.0831447129698147,0.74,0.0,0.0,0.0,0.04999991544581401,0.20999983089221586,5.878160289024588e-13,1.6910778418884406e-07
0.007357577965267281,0.0831447106264421,0.74,0.0,0.0,0.0,0.04999988726138405,0.20999977452352303,7.549004168613482e-13,2.2547647702027872e-07
0.0091969615893305,0.08314470828307345,0.74,0.0,0.0,0.0,0.049999859077002315,0.20999971815492666,9.219845805494203e-13,2.8184507340484386e-07
0.009999999999999998,0.08314470593970937,0.74,0.0,0.0,0.0,0.049999846772276944,0.20999969354554887,9.94930132852601e-13,3.0645445119382914e-07
0.011036345213393719,0.08314470593970937,0.74,0.0,0.0,0.0,0.04999983089267512,0.20999966178643936,1.0890684825295523e-12,3.3821356071261047e-07
0.014715112461520156,0.08314470125299682,0.74,0.0,0.0,0.0,0.04999977452420891,0.2099995490498411,1.4232353557263664e-12,4.5095015896430047e-07
0.018393879709646593,0.08314469656630852,0.74,0.0,0.0,0.0,0.04999971815603434,0.20999943631382612,1.7574007465252095e-12,5.636861739650137e-07
0.025751414205899468,0.08314468719302076,0.74,0.0,0.0,0.0,0.04999960542075412,0.20999921084393403,2.4257259303703296e-12,7.891560660596719e-07
