new_name,rmg_label_with_number,rmg_label_without_number,species_number,smiles_with_number,smiles_without_number,formula,multiplicity,net_charge
AR,Ar,Ar,,[Ar],[Ar],Ar,1,0
CO2,CO2,CO2,,O=C=O,O=C=O,CO2,1,0
N2,N2,N2,,N#N,N#N,N2,1,0
HE,He,He,,[He],[He],He,1,0
[Ne],Ne,Ne,,[Ne],[Ne],Ne,1,0
CO,CO(1),CO,1,[C-]#[O+](1),[C-]#[O+],CO,1,0
H2,H2(2),H2,2,[H][H](2),[H][H],H2,1,0
O2,O2(3),O2,3,[O][O](3),[O][O],O2,3,0
H,[H](4),[H],4,[H](4),[H],H,2,0
HO2,[O]O(7),[O]O,7,[O]O(7),[O]O,HO2,2,0
OH,[OH](8),[OH],8,[OH](8),[OH],HO,2,0
O,[O](9),[O],9,[O](9),[O],O,3,0
O=O,O2(16),O2,16,O=O(16),O=O,O2,1,0
H2O,O(15),O,15,O(15),O,H2O,1,0
H2O2,OO(11),OO,11,OO(11),OO,H2O2,1,0
[CH]=O,CHO(6),CHO,6,[CH]=O(6),[CH]=O,CHO,2,0
O=[C]O,CHO2(14),CHO2,14,O=[C]O(14),O=[C]O,CHO2,2,0
[O]OC=O,CHO3(10),CHO3,10,[O]OC=O(10),[O]OC=O,CHO3,2,0
O=CO,CH2O2(20),CH2O2,20,O=CO(20),O=CO,CH2O2,1,0
[O]C=O,CHO2(25),CHO2,25,[O]C=O(25),[O]C=O,CHO2,2,0
CH2O,CH2O(5),CH2O,5,C=O(5),C=O,CH2O,1,0
[O]OO[O],[O]OO[O](19),[O]OO[O],19,[O]OO[O](19),[O]OO[O],O4,3,0
O=COO,CH2O3(21),CH2O3,21,O=COO(21),O=COO,CH2O3,1,0
CO_22,CO(22),CO,22,[C]=O(22),[C]=O,CO,3,0
O=[C]C=O,C2HO2(23),C2HO2,23,O=[C]C=O(23),O=[C]C=O,C2HO2,2,0
CH2O_24,[CH]O(24),[CH]O,24,[CH]O(24),[CH]O,CH2O,3,0
O=CC=O,C2H2O2(26),C2H2O2,26,O=CC=O(26),O=CC=O,C2H2O2,1,0
CO2_27,CO2(27),CO2,27,[O][C]=O(27),[O][C]=O,CO2,3,0
O=[C]OC=O,C2HO3(28),C2HO3,28,O=[C]OC=O(28),O=[C]OC=O,C2HO3,2,0
O=[C]C(=O)O,C2HO3(29),C2HO3,29,O=[C]C(=O)O(29),O=[C]C(=O)O,C2HO3,2,0
O[C]O,O[C]O(30),O[C]O,30,O[C]O(30),O[C]O,CH2O2,3,0
[O]OC(=O)O,CHO4(31),CHO4,31,[O]OC(=O)O(31),[O]OC(=O)O,CHO4,2,0
O=C(O)OO,CH2O4(32),CH2O4,32,O=C(O)OO(32),O=C(O)OO,CH2O4,1,0
O=C(O)O,CH2O3(33),CH2O3,33,O=C(O)O(33),O=C(O)O,CH2O3,1,0
[O]C(=O)O,CHO3(34),CHO3,34,[O]C(=O)O(34),[O]C(=O)O,CHO3,2,0
O=CC(=O)O,C2H2O3(35),C2H2O3,35,O=CC(=O)O(35),O=CC(=O)O,C2H2O3,1,0
O=C(O)C(=O)O,C2H2O4(36),C2H2O4,36,O=C(O)C(=O)O(36),O=C(O)C(=O)O,C2H2O4,1,0
[CH]1OOO1,[CH]1OOO1(37),[CH]1OOO1,37,[CH]1OOO1(37),[CH]1OOO1,CHO3,2,0
[O]C1OO1,[O]C1OO1(38),[O]C1OO1,38,[O]C1OO1(38),[O]C1OO1,CHO3,2,0
[O]O[C]=O,CO3(39),CO3,39,[O]O[C]=O(39),[O]O[C]=O,CO3,3,0
[O]OC(=O)C=O,C2HO4(40),C2HO4,40,[O]OC(=O)C=O(40),[O]OC(=O)C=O,C2HO4,2,0
O=[C]OOC=O,C2HO4(41),C2HO4,41,O=[C]OOC=O(41),O=[C]OOC=O,C2HO4,2,0
[O]O[CH]O,[O]O[CH]O(42),[O]O[CH]O,42,[O]O[CH]O(42),[O]O[CH]O,CH2O3,3,0
[O]CO[O],[O]CO[O](43),[O]CO[O],43,[O]CO[O](43),[O]CO[O],CH2O3,3,0
[O]OC([O])O,[O]OC([O])O(44),[O]OC([O])O,44,[O]OC([O])O(44),[O]OC([O])O,CH2O4,3,0
O=COOO,CH2O4(45),CH2O4,45,O=COOO(45),O=COOO,CH2O4,1,0
[O]OOC=O,CHO4(46),CHO4,46,[O]OOC=O(46),[O]OOC=O,CHO4,2,0
[O]O[CH]OC=O,C2H2O4(47),C2H2O4,47,[O]O[CH]OC=O(47),[O]O[CH]OC=O,C2H2O4,3,0
[O]OC([O])C=O,C2H2O4(48),C2H2O4,48,[O]OC([O])C=O(48),[O]OC([O])C=O,C2H2O4,3,0
O=COOC=O,C2H2O4(49),C2H2O4,49,O=COOC=O(49),O=COOC=O,C2H2O4,1,0
[O]C[O],[O]C[O](50),[O]C[O],50,[O]C[O](50),[O]C[O],CH2O2,3,0
O=COC=O,C2H2O3(51),C2H2O3,51,O=COC=O(51),O=COC=O,C2H2O3,1,0
[CH-]=[O+]OC=O,C2H2O3(52),C2H2O3,52,[CH-]=[O+]OC=O(52),[CH-]=[O+]OC=O,C2H2O3,1,0
O=CO[C-]=[OH+],C2H2O3(53),C2H2O3,53,O=CO[C-]=[OH+](53),O=CO[C-]=[OH+],C2H2O3,1,0
O[CH]O,O[CH]O(54),O[CH]O,54,O[CH]O(54),O[CH]O,CH3O2,2,0
[O]CO,[O]CO(55),[O]CO,55,[O]CO(55),[O]CO,CH3O2,2,0
[O]OO[CH]O,[O]OO[CH]O(56),[O]OO[CH]O,56,[O]OO[CH]O(56),[O]OO[CH]O,CH2O4,3,0
[O]OC(O)O,[O]OC(O)O(57),[O]OC(O)O,57,[O]OC(O)O(57),[O]OC(O)O,CH3O4,2,0
O[CH]OOO,O[CH]OOO(58),O[CH]OOO,58,O[CH]OOO(58),O[CH]OOO,CH3O4,2,0
[O]C(O)OO,[O]C(O)OO(59),[O]C(O)OO,59,[O]C(O)OO(59),[O]C(O)OO,CH3O4,2,0
[O]C(O)O,[O]C(O)O(60),[O]C(O)O,60,[O]C(O)O(60),[O]C(O)O,CH3O3,2,0
[O]C([O])O,[O]C([O])O(61),[O]C([O])O,61,[O]C([O])O(61),[O]C([O])O,CH2O3,3,0
O=CO[CH]O,C2H3O3(62),C2H3O3,62,O=CO[CH]O(62),O=CO[CH]O,C2H3O3,2,0
[O]C(O)C=O,C2H3O3(63),C2H3O3,63,[O]C(O)C=O(63),[O]C(O)C=O,C2H3O3,2,0
O=C(O)O[CH]O,C2H3O4(64),C2H3O4,64,O=C(O)O[CH]O(64),O=C(O)O[CH]O,C2H3O4,2,0
[O]C(O)C(=O)O,C2H3O4(65),C2H3O4,65,[O]C(O)C(=O)O(65),[O]C(O)C(=O)O,C2H3O4,2,0
[O]C(O)C([O])O,C2H4O4(66),C2H4O4,66,[O]C(O)C([O])O(66),[O]C(O)C([O])O,C2H4O4,3,0
[O]C(O)O[CH]O,C2H4O4(67),C2H4O4,67,[O]C(O)O[CH]O(67),[O]C(O)O[CH]O,C2H4O4,3,0
O[CH]OO[CH]O,O[CH]OO[CH]O(68),O[CH]OO[CH]O,68,O[CH]OO[CH]O(68),O[CH]OO[CH]O,C2H4O4,3,0
OC1OOC1O,OC1OOC1O(69),OC1OOC1O,69,OC1OOC1O(69),OC1OOC1O,C2H4O4,1,0
O=COOCO,C2H4O4(70),C2H4O4,70,O=COOCO(70),O=COOCO,C2H4O4,1,0
O=COC(O)O,C2H4O4(71),C2H4O4,71,O=COC(O)O(71),O=COC(O)O,C2H4O4,1,0
[CH]1OO1,[CH]1OO1(72),[CH]1OO1,72,[CH]1OO1(72),[CH]1OO1,CHO2,2,0
[O]C(=O)C=O,C2HO3(73),C2HO3,73,[O]C(=O)C=O(73),[O]C(=O)C=O,C2HO3,2,0
[O][CH]O,[O][CH]O(74),[O][CH]O,74,[O][CH]O(74),[O][CH]O,CH2O2,3,0
[O][CH]OOO,[O][CH]OOO(75),[O][CH]OOO,75,[O][CH]OOO(75),[O][CH]OOO,CH2O4,3,0
[O]C([O])OO,[O]C([O])OO(76),[O]C([O])OO,76,[O]C([O])OO(76),[O]C([O])OO,CH2O4,3,0
[O][CH]OC=O,C2H2O3(77),C2H2O3,77,[O][CH]OC=O(77),[O][CH]OC=O,C2H2O3,3,0
[O]C([O])C=O,C2H2O3(78),C2H2O3,78,[O]C([O])C=O(78),[O]C([O])C=O,C2H2O3,3,0
[O][CH]OC(=O)O,C2H2O4(79),C2H2O4,79,[O][CH]OC(=O)O(79),[O][CH]OC(=O)O,C2H2O4,3,0
[O]C([O])C(=O)O,C2H2O4(80),C2H2O4,80,[O]C([O])C(=O)O(80),[O]C([O])C(=O)O,C2H2O4,3,0
O=COC(=O)O,C2H2O4(81),C2H2O4,81,O=COC(=O)O(81),O=COC(=O)O,C2H2O4,1,0
[O]C1OOC1O,[O]C1OOC1O(82),[O]C1OOC1O,82,[O]C1OOC1O(82),[O]C1OOC1O,C2H3O4,2,0
O=COO[CH]O,C2H3O4(83),C2H3O4,83,O=COO[CH]O(83),O=COO[CH]O,C2H3O4,2,0
[O]C(O)OC=O,C2H3O4(84),C2H3O4,84,[O]C(O)OC=O(84),[O]C(O)OC=O,C2H3O4,2,0
[O]COOC=O,C2H3O4(85),C2H3O4,85,[O]COOC=O(85),[O]COOC=O,C2H3O4,2,0
[O]C1OOC1[O],[O]C1OOC1[O](86),[O]C1OOC1[O],86,[O]C1OOC1[O](86),[O]C1OOC1[O],C2H2O4,3,0
[O][CH]OOC=O,C2H2O4(87),C2H2O4,87,[O][CH]OOC=O(87),[O][CH]OOC=O,C2H2O4,3,0
[O]C([O])OC=O,C2H2O4(88),C2H2O4,88,[O]C([O])OC=O(88),[O]C([O])OC=O,C2H2O4,3,0
